"18. 우울감 경험률","","","정의","최근 1년 동안 연속적으로 2주 이상 일상생활에 지장이 있을 정도의 우울감(슬픔이나 절망감 등)을 경험한 사람의 분율","","","","","","","","","","","","","","","",""
"","","","분자","최근 1년 동안 연속적으로 2주 이상 일상생활에 지장이 있을 정도의 우울감(슬픔이나 절망감 등)을 경험한 사람의 수","","","","","","","","","","","","","","","",""
"","","","분모","조사대상 응답자 수","","","","","","","","","","","","","","","",""
"","","","비고","%","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"부록표 1-18. 시·도별 성·연령별 우울감 경험률 추이","","","","","","","","","","","","","","","","","","","","(단위: %(표준오차))"
"구분","","","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","95% CI"
"서울","N","(명)","21,916","23,171","22,871","23,109","23,055","23,135","23,024","22,995","22,933","22,945","22,903","22,909","22,912","22,923","22,941","22,928","22,904",""
"","전체","(조율)","8.2(0.2)","7.9(0.2)","6.8(0.2)","7.0(0.2)","6.8(0.2)","7.1(0.2)","8.3(0.2)","7.9(0.2)","7.0(0.2)","7.2(0.2)","5.1(0.2)","6.5(0.2)","6.3(0.2)","7.0(0.2)","7.3(0.2)","8.4(0.2)","7.5(0.2)","7.1-7.9"
"","","(표준화율)","8.1(0.2)","7.8(0.2)","6.7(0.2)","6.9(0.2)","6.7(0.2)","7.0(0.2)","8.1(0.2)","7.8(0.2)","6.9(0.2)","7.1(0.2)","4.9(0.2)","6.5(0.2)","6.3(0.2)","6.8(0.2)","7.1(0.2)","8.3(0.2)","7.3(0.2)","6.9-7.8"
"","남","","5.3(0.2)","5.3(0.2)","4.6(0.2)","4.9(0.2)","4.9(0.2)","5.0(0.2)","6.2(0.3)","6.0(0.3)","5.4(0.2)","5.6(0.2)","3.6(0.2)","5.0(0.2)","4.8(0.2)","5.2(0.2)","5.3(0.2)","6.3(0.3)","6.0(0.3)","5.5-6.5"
"","여","","10.9(0.3)","10.3(0.3)","9.0(0.3)","9.1(0.3)","8.7(0.3)","9.1(0.3)","10.3(0.3)","9.7(0.3)","8.4(0.3)","8.7(0.3)","6.4(0.2)","8.0(0.3)","7.7(0.3)","8.6(0.3)","9.1(0.3)","10.2(0.3)","8.8(0.3)","8.3-9.4"
"","19-29","","6.2(0.4)","6.6(0.4)","6.1(0.4)","6.9(0.5)","7.5(0.5)","6.2(0.4)","7.2(0.4)","8.0(0.5)","7.7(0.5)","7.9(0.5)","4.7(0.4)","7.4(0.5)","7.3(0.5)","7.1(0.5)","8.1(0.5)","8.8(0.5)","7.9(0.5)","6.9-9.0"
"","30-39","","7.2(0.4)","6.4(0.4)","5.6(0.3)","5.6(0.4)","5.4(0.3)","6.5(0.4)","7.6(0.4)","7.1(0.4)","6.4(0.4)","6.4(0.4)","4.6(0.4)","6.1(0.4)","6.8(0.5)","5.7(0.4)","7.0(0.4)","8.0(0.5)","7.2(0.5)","6.3-8.1"
"","40-49","","8.0(0.4)","7.2(0.4)","6.7(0.4)","6.3(0.4)","5.7(0.4)","6.8(0.4)","7.3(0.4)","7.6(0.4)","6.0(0.4)","6.6(0.4)","4.8(0.4)","5.7(0.4)","5.1(0.4)","6.7(0.4)","6.1(0.4)","7.9(0.5)","6.5(0.5)","5.6-7.4"
"","50-59","","9.3(0.6)","9.4(0.5)","7.9(0.5)","7.2(0.4)","7.6(0.4)","6.8(0.4)","8.8(0.5)","8.3(0.5)","6.5(0.4)","7.2(0.4)","4.8(0.4)","6.4(0.4)","6.5(0.4)","7.5(0.4)","6.5(0.4)","8.6(0.5)","7.4(0.4)","6.6-8.3"
"","60-69","","10.7(0.7)","10.3(0.6)","7.3(0.5)","8.9(0.6)","8.0(0.5)","9.1(0.6)","10.1(0.6)","8.4(0.5)","7.6(0.5)","7.1(0.5)","5.6(0.4)","6.5(0.4)","6.1(0.4)","7.0(0.4)","8.1(0.5)","7.7(0.4)","7.5(0.4)","6.7-8.3"
"","70이상","","12.4(0.9)","11.8(0.8)","9.6(0.7)","10.4(0.7)","8.7(0.6)","9.2(0.6)","10.9(0.6)","8.8(0.6)","8.6(0.6)","8.6(0.6)","6.6(0.5)","7.3(0.4)","5.9(0.4)","8.0(0.5)","8.3(0.5)","9.1(0.5)","8.4(0.4)","7.5-9.2"
"부산","N","(명)","14,272","15,071","14,663","14,639","14,611","14,599","14,577","14,597","14,530","14,521","14,515","14,509","14,502","14,508","14,511","14,511","14,515",""
"","전체","(조율)","6.9(0.3)","6.3(0.2)","4.9(0.2)","5.5(0.2)","5.1(0.2)","4.9(0.2)","6.3(0.2)","5.5(0.2)","6.1(0.2)","6.4(0.2)","6.7(0.3)","6.1(0.2)","5.9(0.2)","7.1(0.2)","8.3(0.3)","8.2(0.3)","6.8(0.2)","6.3-7.2"
"","","(표준화율)","6.8(0.2)","6.1(0.2)","4.8(0.2)","5.4(0.2)","4.9(0.2)","4.8(0.2)","5.8(0.2)","5.2(0.2)","5.8(0.2)","6.0(0.2)","6.0(0.2)","5.5(0.2)","5.7(0.3)","6.9(0.3)","7.5(0.3)","7.7(0.3)","6.3(0.3)","5.8-6.8"
"","남","","5.5(0.3)","4.3(0.3)","3.4(0.3)","3.9(0.3)","3.7(0.3)","3.6(0.3)","4.5(0.3)","4.2(0.3)","4.2(0.3)","4.9(0.3)","4.9(0.3)","4.6(0.3)","4.6(0.3)","5.0(0.3)","6.3(0.3)","6.2(0.4)","4.9(0.3)","4.3-5.5"
"","여","","8.4(0.4)","8.3(0.3)","6.3(0.3)","7.1(0.3)","6.5(0.3)","6.2(0.3)","8.1(0.4)","6.8(0.3)","7.8(0.3)","7.9(0.3)","8.4(0.4)","7.6(0.4)","7.1(0.3)","9.0(0.4)","10.2(0.4)","10.0(0.4)","8.5(0.4)","7.8-9.2"
"","19-29","","5.8(0.6)","4.3(0.4)","4.7(0.6)","4.8(0.5)","3.6(0.5)","4.0(0.5)","4.9(0.5)","4.7(0.5)","5.5(0.5)","5.0(0.5)","4.5(0.5)","3.9(0.5)","6.2(0.6)","7.0(0.7)","5.4(0.7)","6.6(0.8)","5.4(0.7)","4.0-6.8"
"","30-39","","6.1(0.5)","5.4(0.5)","3.7(0.4)","4.7(0.5)","4.5(0.5)","4.4(0.5)","4.1(0.5)","4.0(0.4)","5.5(0.5)","5.7(0.6)","4.9(0.6)","4.9(0.6)","5.6(0.6)","6.9(0.7)","7.0(0.7)","7.3(0.7)","5.8(0.7)","4.5-7.2"
"","40-49","","5.9(0.5)","5.9(0.5)","4.0(0.4)","5.4(0.5)","4.3(0.5)","4.3(0.5)","5.0(0.5)","4.9(0.5)","4.5(0.5)","5.1(0.5)","5.2(0.5)","4.7(0.5)","4.8(0.5)","6.2(0.6)","7.3(0.7)","7.7(0.6)","6.3(0.6)","5.2-7.4"
"","50-59","","7.9(0.6)","7.6(0.5)","5.0(0.4)","5.5(0.4)","5.1(0.4)","5.2(0.5)","6.2(0.5)","5.8(0.5)","5.8(0.5)","6.9(0.5)","7.7(0.6)","6.6(0.6)","5.8(0.5)","6.2(0.5)","8.4(0.7)","7.8(0.6)","6.6(0.5)","5.6-7.6"
"","60-69","","9.5(0.8)","7.9(0.8)","6.7(0.6)","7.4(0.6)","6.2(0.6)","6.3(0.6)","9.4(0.7)","6.3(0.6)","7.8(0.7)","7.4(0.6)","8.7(0.6)","7.9(0.6)","6.6(0.5)","7.8(0.5)","8.7(0.5)","8.8(0.5)","6.3(0.5)","5.4-7.2"
"","70이상","","9.1(1.0)","9.2(0.9)","7.3(0.8)","6.6(0.7)","9.5(0.8)","6.4(0.6)","11.3(0.8)","8.9(0.7)","8.7(0.8)","9.3(0.7)","9.5(0.7)","9.0(0.6)","6.6(0.5)","8.6(0.6)","12.3(0.6)","10.5(0.6)","9.7(0.6)","8.6-10.9"
"대구","N","(명)","6,977","7,335","7,300","7,327","7,326","7,334","7,332","7,328","7,302","7,310","7,302","7,289","7,317","7,326","7,314","8,183","8,170",""
"","전체","(조율)","7.4(0.4)","8.3(0.4)","5.5(0.3)","4.2(0.3)","5.7(0.3)","5.4(0.3)","5.7(0.4)","5.4(0.3)","5.0(0.3)","4.6(0.3)","3.5(0.2)","5.5(0.3)","5.2(0.3)","6.0(0.3)","6.2(0.3)","6.8(0.3)","5.6(0.3)","5.1-6.2"
"","","(표준화율)","7.2(0.3)","8.2(0.3)","5.4(0.3)","4.1(0.2)","5.6(0.3)","5.3(0.3)","5.4(0.3)","5.1(0.3)","4.9(0.3)","4.6(0.3)","3.4(0.2)","5.4(0.3)","5.4(0.3)","5.8(0.3)","6.1(0.3)","6.7(0.4)","5.4(0.3)","4.7-6.0"
"","남","","5.4(0.4)","6.2(0.4)","3.3(0.4)","2.6(0.3)","3.5(0.4)","3.5(0.3)","4.2(0.4)","3.6(0.3)","4.1(0.4)","3.1(0.4)","2.7(0.3)","4.0(0.4)","3.6(0.3)","4.3(0.4)","5.0(0.4)","5.7(0.4)","4.5(0.4)","3.8-5.3"
"","여","","9.2(0.6)","10.3(0.5)","7.7(0.5)","5.7(0.4)","7.9(0.5)","7.3(0.5)","7.2(0.5)","7.1(0.5)","5.8(0.4)","6.0(0.5)","4.3(0.3)","7.0(0.5)","6.8(0.5)","7.6(0.5)","7.3(0.4)","7.8(0.5)","6.7(0.4)","5.9-7.5"
"","19-29","","5.2(0.7)","7.9(0.8)","4.0(0.6)","3.0(0.5)","5.2(0.7)","4.4(0.7)","4.6(0.7)","4.4(0.7)","4.6(0.8)","5.3(0.8)","3.5(0.6)","5.0(0.8)","6.1(0.7)","6.1(0.8)","5.3(0.7)","5.2(0.7)","3.8(0.6)","2.5-5.0"
"","30-39","","5.3(0.6)","6.3(0.7)","4.7(0.6)","4.6(0.7)","4.7(0.6)","4.9(0.5)","4.3(0.6)","4.5(0.6)","5.8(0.8)","4.4(0.8)","2.5(0.5)","5.0(0.8)","5.2(0.7)","5.0(0.8)","5.4(1.0)","6.7(1.0)","6.2(0.9)","4.5-7.8"
"","40-49","","6.9(0.7)","8.2(0.7)","5.6(0.6)","4.0(0.5)","4.8(0.6)","4.8(0.7)","4.8(0.6)","4.4(0.7)","3.5(0.5)","3.6(0.6)","3.5(0.5)","5.3(0.7)","5.7(0.7)","5.5(0.7)","7.3(0.8)","7.8(0.7)","4.9(0.7)","3.5-6.2"
"","50-59","","7.3(0.9)","8.9(0.8)","6.0(0.7)","4.6(0.6)","5.5(0.6)","5.6(0.7)","6.1(0.7)","6.3(0.7)","5.6(0.8)","3.9(0.6)","4.2(0.6)","4.7(0.6)","5.1(0.7)","6.3(0.7)","6.0(0.7)","6.0(0.7)","6.4(0.7)","5.0-7.8"
"","60-69","","11.9(1.4)","9.0(1.1)","7.4(0.8)","4.6(0.8)","6.6(0.8)","7.0(1.0)","8.1(0.9)","6.8(0.9)","5.2(0.7)","4.7(0.7)","3.4(0.5)","6.9(0.8)","5.7(0.9)","6.4(0.8)","5.9(0.6)","6.9(0.7)","5.5(0.6)","4.2-6.8"
"","70이상","","14.8(1.5)","13.1(1.5)","7.6(0.9)","4.9(1.0)","10.9(1.4)","7.7(1.0)","8.9(1.2)","7.2(1.1)","5.9(0.7)","6.9(1.0)","3.9(0.5)","7.1(0.9)","3.1(0.6)","6.7(0.7)","7.0(0.8)","8.0(0.9)","6.9(0.7)","5.6-8.3"
"인천","N","(명)","8,284","9,024","9,048","9,028","9,000","9,022","9,004","9,012","8,977","8,982","8,977","8,972","8,975","8,975","8,976","8,977","8,975",""
"","전체","(조율)","8.7(0.4)","9.9(0.4)","6.0(0.3)","5.2(0.3)","5.6(0.3)","7.7(0.3)","8.5(0.4)","8.1(0.4)","7.2(0.3)","7.5(0.4)","8.4(0.4)","7.6(0.4)","8.0(0.4)","9.4(0.4)","8.3(0.4)","6.9(0.3)","6.9(0.3)","6.3-7.5"
"","","(표준화율)","8.8(0.4)","9.8(0.4)","6.0(0.3)","5.2(0.3)","5.6(0.3)","7.5(0.3)","8.3(0.3)","7.9(0.3)","6.9(0.3)","7.2(0.3)","8.1(0.3)","7.6(0.3)","7.9(0.4)","8.8(0.4)","8.0(0.4)","6.5(0.3)","6.4(0.3)","5.7-7.0"
"","남","","5.4(0.5)","7.5(0.4)","4.1(0.4)","3.8(0.4)","3.6(0.4)","5.9(0.4)","5.9(0.5)","5.7(0.5)","4.5(0.4)","5.4(0.4)","6.1(0.4)","5.5(0.4)","6.4(0.5)","7.2(0.4)","6.2(0.5)","5.3(0.4)","5.5(0.5)","4.6-6.4"
"","여","","12.1(0.7)","12.2(0.5)","8.0(0.5)","6.6(0.4)","7.6(0.4)","9.4(0.5)","11.2(0.5)","10.4(0.5)","10.0(0.5)","9.5(0.6)","10.6(0.5)","9.8(0.5)","9.7(0.5)","11.6(0.5)","10.5(0.6)","8.5(0.5)","8.2(0.4)","7.4-9.0"
"","19-29","","6.7(0.9)","6.4(0.6)","4.6(0.7)","5.2(0.7)","6.0(0.9)","5.9(0.7)","5.6(0.7)","6.1(0.8)","4.9(0.7)","6.7(0.8)","7.0(0.8)","6.7(0.8)","6.7(0.8)","8.3(1.0)","7.3(1.0)","5.4(0.8)","4.9(0.7)","3.5-6.2"
"","30-39","","6.7(0.7)","7.1(0.6)","5.4(0.6)","5.0(0.6)","4.8(0.6)","7.1(0.9)","7.0(0.7)","7.4(0.7)","5.5(0.6)","7.2(0.7)","7.4(0.8)","8.0(0.8)","7.8(1.0)","7.0(0.9)","7.1(0.8)","5.7(0.7)","5.8(0.8)","4.2-7.3"
"","40-49","","8.6(0.8)","10.2(0.8)","4.7(0.5)","5.3(0.6)","4.5(0.5)","5.5(0.6)","8.8(0.8)","7.6(0.7)","6.5(0.6)","5.1(0.7)","6.9(0.7)","6.8(0.7)","8.4(0.8)","7.9(0.8)","7.5(0.9)","6.1(0.7)","6.2(0.8)","4.6-7.9"
"","50-59","","10.6(1.2)","11.9(1.2)","7.9(0.7)","5.2(0.6)","5.9(0.8)","9.0(0.8)","9.1(0.8)","7.8(0.7)","8.6(0.8)","8.5(0.9)","9.9(0.9)","6.1(0.7)","8.3(0.7)","10.2(1.0)","8.2(0.9)","7.2(0.7)","7.0(0.7)","5.7-8.3"
"","60-69","","12.1(1.3)","14.2(1.4)","7.1(1.1)","5.9(1.1)","6.7(0.8)","11.2(1.2)","9.5(1.1)","10.6(1.2)","8.7(0.9)","9.0(1.0)","10.0(1.0)","10.3(1.2)","9.9(1.0)","11.1(0.9)","9.5(0.9)","7.5(0.7)","8.6(0.8)","7.1-10.2"
"","70이상","","14.4(1.5)","17.8(1.8)","10.8(1.3)","4.2(0.8)","8.6(1.2)","11.8(1.3)","15.6(1.5)","12.4(1.4)","12.3(1.2)","10.5(1.1)","10.5(1.1)","10.1(1.0)","6.9(0.9)","13.2(1.1)","11.3(0.9)","10.7(0.9)","9.0(0.7)","7.6-10.5"
"광주","N","(명)","4,431","4,824","4,647","4,632","4,646","4,643","4,619","4,600","4,596","4,582","4,564","4,567","4,615","4,602","4,564","4,566","4,566",""
"","전체","(조율)","8.8(0.6)","7.0(0.4)","5.0(0.3)","5.4(0.4)","6.1(0.4)","4.7(0.3)","6.5(0.4)","5.0(0.4)","4.7(0.3)","5.5(0.4)","4.5(0.3)","5.5(0.4)","4.6(0.4)","6.8(0.4)","6.5(0.4)","7.5(0.4)","5.6(0.4)","4.9-6.4"
"","","(표준화율)","8.7(0.5)","7.0(0.4)","5.0(0.3)","5.4(0.4)","6.1(0.4)","4.6(0.3)","6.4(0.4)","5.0(0.4)","4.6(0.3)","5.4(0.4)","4.5(0.3)","5.4(0.4)","4.5(0.3)","6.3(0.4)","6.3(0.4)","7.0(0.4)","5.0(0.4)","4.3-5.7"
"","남","","5.9(0.7)","4.7(0.5)","3.3(0.4)","3.5(0.4)","4.1(0.5)","3.3(0.5)","4.7(0.4)","4.0(0.4)","3.8(0.4)","3.4(0.4)","3.3(0.4)","4.2(0.5)","3.1(0.4)","5.7(0.5)","4.9(0.5)","5.5(0.5)","4.1(0.4)","3.2-4.9"
"","여","","11.5(0.7)","9.3(0.6)","6.7(0.5)","7.2(0.6)","8.0(0.6)","5.9(0.4)","8.2(0.6)","6.0(0.5)","5.6(0.5)","7.5(0.6)","5.7(0.5)","6.7(0.5)","6.0(0.5)","7.9(0.6)","8.0(0.6)","9.5(0.6)","7.2(0.6)","5.9-8.4"
"","19-29","","8.7(1.5)","6.0(1.0)","5.3(0.7)","6.7(0.9)","5.1(0.9)","4.1(0.8)","5.4(0.8)","5.7(0.9)","5.6(0.8)","5.4(0.9)","5.6(0.9)","4.4(0.8)","4.1(0.7)","6.6(0.9)","5.2(0.9)","5.9(0.8)","4.2(0.7)","2.8-5.7"
"","30-39","","6.9(0.9)","5.8(0.8)","4.1(0.7)","4.9(0.8)","5.3(0.9)","4.1(0.7)","6.8(0.8)","4.4(0.8)","3.9(0.7)","5.1(0.8)","3.3(0.6)","6.2(0.9)","4.7(1.1)","4.1(0.8)","5.8(0.9)","5.6(0.8)","3.4(0.9)","1.7-5.1"
"","40-49","","9.4(1.1)","6.4(0.8)","3.8(0.5)","4.9(0.8)","6.6(0.8)","5.1(0.7)","5.2(0.6)","5.8(0.8)","4.0(0.6)","4.0(0.6)","4.0(0.7)","4.4(0.8)","4.5(0.7)","5.8(0.9)","6.0(0.8)","7.1(0.8)","3.8(0.7)","2.4-5.3"
"","50-59","","9.1(1.1)","7.8(0.9)","4.9(0.7)","3.8(0.7)","5.2(0.9)","5.3(0.8)","6.8(0.9)","4.2(0.7)","5.3(0.7)","7.8(1.0)","3.7(0.6)","5.3(0.9)","4.4(0.6)","7.4(1.0)","7.3(1.0)","7.3(0.9)","7.8(1.1)","5.6-9.9"
"","60-69","","11.0(1.4)","10.1(1.3)","7.3(1.2)","7.4(1.0)","8.6(1.2)","3.3(0.9)","9.7(1.5)","4.2(0.8)","4.8(0.9)","5.0(0.9)","6.6(0.9)","8.4(1.2)","4.2(0.7)","7.6(1.1)","6.8(0.8)","8.8(1.0)","5.8(0.7)","4.3-7.2"
"","70이상","","9.9(1.4)","10.4(1.3)","7.9(1.3)","5.2(1.0)","8.5(1.3)","6.7(1.1)","6.9(0.9)","5.7(0.9)","4.8(0.9)","5.9(1.1)","4.5(0.8)","5.5(0.9)","6.3(1.1)","10.7(1.3)","8.3(1.1)","11.3(1.4)","8.9(0.9)","7.0-10.7"
"대전","N","(명)","4,095","4,587","4,581","4,585","4,583","4,586","4,592","4,590","4,570","4,577","4,575","4,577","4,578","4,609","4,593","4,588","4,593",""
"","전체","(조율)","6.9(0.4)","7.6(0.5)","6.1(0.4)","4.2(0.3)","4.4(0.4)","7.0(0.4)","6.1(0.4)","7.7(0.4)","7.4(0.4)","5.4(0.4)","4.7(0.3)","4.2(0.3)","4.8(0.3)","6.7(0.4)","7.0(0.5)","8.3(0.5)","6.1(0.4)","5.3-6.9"
"","","(표준화율)","6.8(0.4)","7.6(0.4)","6.0(0.4)","4.3(0.3)","4.3(0.3)","6.8(0.4)","5.9(0.4)","7.6(0.4)","7.4(0.5)","5.6(0.4)","4.7(0.4)","4.2(0.3)","4.8(0.4)","6.5(0.4)","6.7(0.4)","7.9(0.4)","5.9(0.4)","5.1-6.7"
"","남","","4.9(0.6)","6.6(0.6)","4.2(0.5)","2.8(0.4)","3.2(0.4)","4.7(0.5)","4.4(0.5)","5.9(0.6)","5.4(0.6)","4.6(0.6)","3.4(0.4)","2.7(0.4)","3.5(0.4)","5.0(0.5)","5.6(0.6)","6.2(0.5)","4.8(0.5)","3.9-5.7"
